job_id,title,company,role_category,source,skill,skill_category
adzuna_5707534417,Analyst – Final Mile Delivery,RONA,Data Analyst,Adzuna,R,Programming
adzuna_5718164613,"Analyst, Data Science & Analytics Solutions, Student Intern (Fall 2026 - 4 Months)",Healthcare of Ontario Pension Plan Trust Fund Company,Data Analyst,Adzuna,R,Programming
adzuna_5586555372,Senior FP&A Analyst,Corpay,Data Analyst,Adzuna,R,Programming
adzuna_5720640132,"HR, Payroll, or HR Technology professionals looking to transition into HRIS Analyst (Oracle) roles",estaffing Inc,Data Analyst,Adzuna,R,Programming
adzuna_5724481685,"Senior Financial Analyst (Toronto, ON - Hybrid)",LifeLabs,Data Analyst,Adzuna,R,Programming
adzuna_5725319434,"Senior Analyst (Senior Associate), Portfolio Analytics, Capital Markets (12 month Contract)",OMERS,Data Analyst,Adzuna,R,Programming
adzuna_5714826331,Marketing & Pricing Analyst - Superior Gas Liquids,Superior Propane,Data Analyst,Adzuna,R,Programming
adzuna_5720274703,Senior Accounting Analyst,American Iron and Metal,Data Analyst,Adzuna,R,Programming
adzuna_5708520861,Senior Financial Analyst,emergiTEL,Data Analyst,Adzuna,R,Programming
adzuna_5726571513,Senior SAP BODS Developer,Astra North Infoteck Inc.,Other,Adzuna,R,Programming
adzuna_5401317586,Part-Time Lecturer - Analytics (Vancouver),Northeastern University,Other,Adzuna,R,Programming
adzuna_5682396448,Analyste aux Opérations // Operations Analyst,Fleurco Inc,Data Analyst,Adzuna,R,Programming
adzuna_5711521552,Analyste aux Oprations // Operations Analyst,Fleurco Inc,Data Analyst,Adzuna,R,Programming
adzuna_5638661019,"Analytics Engineer, Credit Risk",KOHO,Other,Adzuna,R,Programming
adzuna_5641522467,"Analytics Engineer, Treasury & Payments",KOHO,Other,Adzuna,R,Programming
adzuna_5700639152,Finance Business Partner Analyst - Royal Canin (Canada),Mars,Data Analyst,Adzuna,R,Programming
adzuna_5709257886,Compensation & Total Rewards Analyst,General Dynamics Land Systems,Data Analyst,Adzuna,R,Programming
adzuna_5714858319,Product Analyst,"McAfee, LLC",Data Analyst,Adzuna,R,Programming
adzuna_5716203801,Product Analyst,McAfee,Data Analyst,Adzuna,R,Programming
adzuna_5724628936,HR Analyst,Charger Logistics Inc,Data Analyst,Adzuna,R,Programming
adzuna_5681646182,IAM Campaign Manager,McKesson,Other,Adzuna,R,Programming
adzuna_5710539452,Product Analyst - Lending and Financing Platform,Enercare,Data Analyst,Adzuna,R,Programming
adzuna_5707545677,"Project Analyst, Clean Fuel Energy & Project Development",ClearBlue Markets,Data Analyst,Adzuna,R,Programming
adzuna_5626809807,"Technical Fellow, Advanced Packaging Integration",TechInsights,Other,Adzuna,R,Programming
adzuna_5716884125,Senior Financial Analyst,Empire Roofing,Data Analyst,Adzuna,R,Programming
adzuna_5694205045,Trade Desk Support,Insight Global,Other,Adzuna,R,Programming
adzuna_5316743353,Part-Time Lecturer - Analytics (Toronto),Northeastern University,Other,Adzuna,R,Programming
adzuna_5655280651,Murex Integration Analyst – Capital Markets,Accenture,Data Analyst,Adzuna,R,Programming
adzuna_5678336945,Procurement Operations Analyst,TMX,Data Analyst,Adzuna,R,Programming
adzuna_5587336971,"Manager, Strategic Planning & Business Dev.",Bombardier,Other,Adzuna,R,Programming
adzuna_5710241782,Accounts Receivable Analyst (Bilingual English/French),TEEMA,Data Analyst,Adzuna,R,Programming
